,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
743,644662,Brock Spandl,21117,Minnesota,Big 10,4.95,5.2,5.2,5.2,2011
754,644672,Joey Schwecke,21117,Minnesota,Big 10,3.97,4.37,4.5,4.35,2011
755,645438,Brian Hancock,21128,Missouri,Big 12,5.05,5.25,5.25,5.36,2011
757,636018,Nate Polacek,21169,Nebraska,Big 12,5.13,5.07,5.22,5.38,2012
760,275886,Cooper Merrill,20996,Kansas,Big 12,4.6,4.9,4.75,5.05,2011
762,645463,Lars Rise,21128,Missouri,Big 12,4.6,4.6,4.7,4.6,2011
767,628183,Kyle Gann,21051,Louisville,Big East,4.75,4.85,4.95,5.05,2011
772,625108,Geren Woodbridge,21033,Liberty,Big South,3.85,4.7,4.71,4.7,2011
780,662753,Garrett Stafford,21292,Rice,C-USA,4.3,4.75,4.82,4.51,2011
795,676322,Jordan Zerr,21560,Wichita State,Missouri Valley (MVC),3.9,4.3,4.45,4.3,2011
797,663317,Chris Little,20690,BYU,Mountain West (MWC),5.06,5.16,5.41,5.35,2011
805,271200,Scott Roth,21523,Washington,PAC-10,5.35,5.6,5.5,5.72,2011
806,667652,Greg Woepse,21490,UCLA,PAC-10,5.21,5.3,5.2,5.35,2011
809,667539,James Coffin,20617,Arizona,PAC-10,5.05,4.9,4.93,5.05,2011
810,800939,Taylor Slingsby,21493,USC,PAC-10,4.8,4.45,4.9,4.95,2011
813,676084,Casey Roche,21424,Stanford,PAC-10,5.05,5.2,5.2,4.65,2011
816,271170,Andrew Ferleman,21523,Washington,PAC-10,4.05,4.15,3.95,4.12,2011
820,665916,Eric Foran,20871,Florida,Southeastern (SEC),4.95,5.28,4.8,5.31,2011
831,663151,Kyle Kaase,21466,Texas-San Antonio,Southland (SLC),4.3,4.6,5.0,4.9,2011
837,645545,Joel Miller,21240,Oral Roberts,Summit,4.6,4.75,4.82,4.63,2011
840,820930,David Deal,20887,Fresno State,Western (WAC),4.3,4.6,4.79,4.45,2011
862,677687,Brian Porter,21461,Texas Tech,Big 12,5.05,5.05,5.25,5.28,2010
871,626663,Matt Schipper,21219,Notre Dame,Big East,4.85,5.05,5.3,5.1,2010
879,663369,Anthony Orozco,20792,CS Northridge,Big West,4.4,4.6,4.9,4.93,2010
