,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
120,8329889,Madeline Aune,21364,South Dakota,Great West,3.8,3.7,3.8,3.8,2018
129,8429570,Samantha Tollerud,21003,Kent State,Mid-American (MAC),3.86,4.13,4.16,4.14,2018
130,6674246,Janina Pollatz,20844,Eastern Michigan,Mid-American (MAC),3.5,3.86,4.1,4.08,2018
131,7674656,Rebekah Petty,20719,Central Michigan,Mid-American (MAC),3.71,3.8,3.83,3.97,2018
145,8072540,Samantha Patterson,20988,Jacksonville State,Ohio Valley (OVC),3.48,3.59,3.45,3.35,2018
147,7678561,Kristiana Warth,20618,Arizona State,PAC-12,3.55,3.7,4.07,3.92,2018
148,6927760,Annie Sidor,21243,Oregon State,PAC-12,3.45,3.35,3.8,3.92,2018
150,7678558,Haleigh Fritts,20618,Arizona State,PAC-12,3.69,3.85,3.72,3.72,2018
158,8990383,Meghan Breden,21543,Western Carolina,Southern (SoCon),3.2,3.81,3.75,3.5,2018
165,8990149,Lauren Gietzen,21198,North Dakota State,Summit,3.65,3.85,4.11,4.05,2018
166,9108096,Morgan McIntyre,21545,Western Kentucky,Sun Belt,3.7,3.72,4.13,4.01,2018
168,8980876,Jordan Friz,21360,South Alabama,Sun Belt,3.58,4.1,3.81,3.81,2018
181,8992611,Sydney Sloan,21040,Lipscomb,Atlantic Sun,2.75,3.35,3.12,3.3,2017
182,6657048,Hannah Sailar,21103,Michigan State,Big 10,3.98,3.98,4.1,4.2,2017
186,5091788,Cami Gilson,21117,Minnesota,Big 10,3.95,4.03,3.91,4.04,2017
188,6863737,Annie Rhodes,20641,Baylor,Big 12,4.2,4.2,4.45,4.61,2017
200,6663980,Hayley Carbullido,21314,Sacramento State,Big Sky,3.51,3.55,3.7,3.93,2017
204,6349277,Holly Tokar,21485,UC Davis,Big West,3.97,3.65,3.97,3.92,2017
207,6243789,Ariel Cheng,21486,UC Irvine,Big West,3.87,3.93,3.91,3.9,2017
214,6315480,Caitlin Nilssen,20792,CS Northridge,Big West,3.42,3.76,3.76,3.5,2017
217,6246113,Mary Carson Pitts,21481,Tulane,C-USA,3.97,3.93,4.1,3.9,2017
222,6258260,Brynn Warrington,21472,Towson,Colonial (CAA),3.25,3.5,3.7,3.6,2017
223,6258264,Courtney Rose,21472,Towson,Colonial (CAA),3.25,3.35,3.55,3.5,2017
224,3827684,Emily Grove,21364,South Dakota,Great West,4.25,4.3,4.5,4.6,2017
225,5092910,Madison Mills,21364,South Dakota,Great West,4.1,4.2,4.1,4.2,2017
