,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
42,9144293,Daija Coleman,21464,Texas-Rio Grande Valley,Great West,11.04,11.88,12.3,12.19,2019
43,9144301,Kassandra Rocha,21464,Texas-Rio Grande Valley,Great West,10.91,10.45,11.04,10.36,2019
44,8997092,Kerri Davidson,21270,Princeton,Heps,11.44,12.24,12.27,12.4,2019
45,9108084,Jehvania Whyte,21207,Northern Illinois,Mid-American (MAC),11.75,12.46,13.36,13.33,2019
46,9142330,Crystal Henderson,20685,Buffalo,Mid-American (MAC),12.3,12.02,12.33,12.33,2019
47,9907338,Anisa Toppin,21188,North Carolina A&amp;T,Mid-Eastern (MEAC),12.15,12.56,12.99,12.48,2019
49,9025078,Taj Dorsett,20666,Boise State,Mountain West (MWC),11.2,11.33,12.1,12.03,2019
50,9015621,Andrea Abel,20583,Air Force,Mountain West (MWC),10.65,11.28,11.49,11.4,2019
51,9027951,Tarah Vijayasarathy,20768,Colorado State,Mountain West (MWC),11.29,11.76,11.38,11.4,2019
52,2839160,Kassie Gurnell,20583,Air Force,Mountain West (MWC),12.41,12.89,12.63,12.78,2014
53,8995399,Brittany Cook,20988,Jacksonville State,Ohio Valley (OVC),12.02,12.17,12.01,11.55,2019
54,8992695,Gabrielle Younginer,21449,Tennessee State,Ohio Valley (OVC),11.63,11.88,11.88,11.27,2019
55,10876318,Chaquinn Cook,21242,Oregon,PAC-12,12.82,13.51,13.89,13.72,2019
56,8991864,Marina Reilly,20761,Colgate,Patriot,11.54,11.44,11.67,11.18,2019
57,8996404,Alexis Auman,20683,Bucknell,Patriot,11.64,11.62,10.94,11.16,2019
58,9171295,Yanis David,20871,Florida,Southeastern (SEC),13.64,13.92,13.95,14.35,2019
59,9203582,Marie-Josee Ebwea-Bile Excel,21004,Kentucky,Southeastern (SEC),13.05,13.69,13.66,13.87,2019
60,8150398,Tiffany Flynn,21126,Mississippi State,Southeastern (SEC),12.6,12.84,13.47,13.87,2019
61,9015454,LaChyna Roe,21448,Tennessee,Southeastern (SEC),12.03,12.61,13.15,13.52,2019
62,9098182,Tristyn Allen,21321,Sam Houston State,Southland (SLC),12.38,12.66,12.83,12.58,2019
63,9144196,Darian Bucknor,21321,Sam Houston State,Southland (SLC),12.32,12.02,12.17,11.42,2019
64,7722315,Brittney Gibbs,21374,Southern Illinois-Edwardsville,Summit,12.72,12.12,12.57,12.5,2019
65,9123262,Hannah Smith,21183,New Mexico State,Western (WAC),11.98,11.82,12.69,12.39,2019
66,9125816,Lauren Curlanis,20964,Idaho,Western (WAC),10.04,10.71,10.32,10.87,2019
69,8429251,Tonyecia Burks,20955,Houston,American,11.98,12.83,13.53,12.84,2018
73,9147903,Alexis Gannon,21187,North Carolina,Atlantic Coast (ACC),11.27,12.6,12.79,12.29,2018
75,9103646,Sabina Allen,20702,Campbell,Atlantic Sun,12.18,13.11,12.88,13.18,2018
77,8982208,Timia Easley,20839,East Tennessee State,Atlantic Sun,11.26,11.66,11.39,11.32,2018
78,8429137,Angela Mercurio,21169,Nebraska,Big 10,12.76,12.7,13.38,13.08,2018
81,8428332,Jhoanmy Luque,20981,Iowa State,Big 12,12.52,13.37,13.8,13.69,2018
90,7722285,Terica Harris,21072,Marquette,Big East,11.53,11.48,12.3,12.6,2018
91,6240395,Gabrielle Howard,20816,DePaul,Big East,10.69,11.77,11.28,12.09,2018
94,7735934,Ta'Mara Richey,21266,Portland State,Big Sky,12.04,11.4,12.48,11.85,2018
95,7735894,Megan Murphy,20848,Eastern Washington,Big Sky,11.2,10.69,11.39,11.2,2018
96,7762852,Laura Hamann,20790,CS Fullerton,Big West,11.43,11.93,12.59,12.25,2018
104,9107218,Taylor McCormick,21508,Virginia Commonwealth,Colonial (CAA),11.54,11.81,12.27,12.2,2018
110,6742541,Ashley Thompson,21364,South Dakota,Great West,12.27,12.02,12.47,12.41,2018
112,8329880,Colette Christensen,21364,South Dakota,Great West,11.3,11.52,10.86,11.16,2018
115,8433694,Melissa Kirchoff,21580,Wisconsin-Milwaukee,Horizon,11.65,11.85,11.83,11.95,2018
118,8517458,Tyshai Freeman,21470,Toledo,Mid-American (MAC),11.56,11.88,12.19,11.85,2018
119,8517425,Kyla Paster,20671,Bowling Green,Mid-American (MAC),11.47,11.76,11.85,11.82,2018
121,8992263,Jayme Thomas,20929,Hampton,Mid-Eastern (MEAC),10.59,11.92,11.5,11.93,2018
122,7512647,Jamie Newsome,20974,Indiana State,Missouri Valley (MVC),12.38,12.32,11.96,11.43,2018
123,7729204,Brittany Graves,21175,Nevada-Reno,Mountain West (MWC),12.09,12.12,12.42,12.58,2018
124,7762064,Cambree Harbaugh,21659,San Jose State,Mountain West (MWC),12.01,11.9,12.29,12.33,2018
125,7729205,Dezirae Pennington,21175,Nevada-Reno,Mountain West (MWC),11.76,11.41,11.78,12.28,2018
127,7715746,McKenzie Wright,20768,Colorado State,Mountain West (MWC),12.11,11.99,11.94,11.91,2018
134,7716562,Ashley Anderson,21484,UC Berkeley,PAC-12,12.38,12.91,13.2,13.3,2018
135,7716581,Marisa Kwiatkowski,21424,Stanford,PAC-12,12.57,12.59,12.68,12.92,2018
136,7678557,Darreyl Woodson,20618,Arizona State,PAC-12,11.5,12.13,12.21,12.34,2018
139,7853921,Keturah Orji,20900,Georgia,Southeastern (SEC),14.15,14.6,14.31,14.6,2018
142,7853930,Darrielle McQueen,20871,Florida,Southeastern (SEC),12.92,13.22,13.37,13.31,2018
144,8975529,Jakayla Hand,20625,Auburn,Southeastern (SEC),12.42,12.42,13.11,12.9,2018
145,8841996,Deja Hillman,20625,Auburn,Southeastern (SEC),12.47,12.27,12.16,12.2,2018
146,8982289,Kasey Widmyer,21590,Wofford,Southern (SoCon),10.92,11.08,10.82,10.6,2018
150,8990153,Piper Jensen,21198,North Dakota State,Summit,10.76,11.04,12.02,12.39,2018
151,8980878,Kristina Szabo,21360,South Alabama,Sun Belt,11.96,12.6,12.58,12.13,2018
157,7860069,Chardae Greenlee,21093,Memphis,American,12.09,13.36,13.03,12.95,2017
162,6657096,Amara Bell,21190,North Carolina State,Atlantic Coast (ACC),11.69,11.67,12.07,12.41,2017
