ID,Name,School_ID,School,Division
16220376,Nathan Stone,20972,Indiana (IN),Big 10
16282707,Luke Bendick,21230,Ohio State,Big 10
14408213,Trevor Stephenson,21103,Michigan State,Big 10
12553049,Brock Mammoser,20972,Indiana (IN),Big 10
16315632,Ekhardt Van der Watt,21117,Minnesota,Big 10
11683560,Robert Oswald,21230,Ohio State,Big 10
16201022,Luke Knipe,21255,Penn State,Big 10
12659336,Mike Herauf,21117,Minnesota,Big 10
17642181,Henry Sheldon FR,21102,Michigan,Big 10
10879642,Kevin Cahoy,21169,Nebraska,Big 10
17853155,Wade Walder,21103,Michigan State,Big 10
12564966,Teddy Frid,21117,Minnesota,Big 10
17576121,Ryan Talbot,21103,Michigan State,Big 10
14408202,Garrison Hughes,21169,Nebraska,Big 10
17555222,Tyler Sierks,20972,Indiana (IN),Big 10
17546817,Dan Dean,21255,Penn State,Big 10
17548567,Skyler Peterson,21169,Nebraska,Big 10
17555221,Sam Wood,20972,Indiana (IN),Big 10
16302027,Aiden Ouimet,20966,Illinois,Big 10
16283756,Heath Baldwin,21102,Michigan,Big 10
16283758,Mason Mahacek,21102,Michigan,Big 10
7769449,Zachery Bradford,20996,Kansas,Big 12
14395200,KC Lightfoot,20641,Baylor,Big 12
9121532,Hussain Al Hizam,20996,Kansas,Big 12
12612126,Kyle Rogers,20996,Kansas,Big 12
17547344,Sean Clarke,21453,Texas A&amp;M,Big 12
17546734,Benjamin Conacher,20641,Baylor,Big 12
17555027,Christian Champen,20996,Kansas,Big 12
15070924,Warren Miller,21452,Texas,Big 12
14392575,Logan Fraley,21461,Texas Tech,Big 12
16321621,Michael Schmuhl,21453,Texas A&amp;M,Big 12
17555028,Jake Freidel,20996,Kansas,Big 12
16310214,Kyle Stifflemire,21461,Texas Tech,Big 12
17548443,Andrew Saloga,20996,Kansas,Big 12
14327822,Spencer Simons,21453,Texas A&amp;M,Big 12
17546768,Rory Maguire,21461,Texas Tech,Big 12
12615955,Graham Gonzalez,21452,Texas,Big 12
16205477,Zach Davis,21453,Texas A&amp;M,Big 12
16310210,James Manders,21461,Texas Tech,Big 12
10879344,Lucas Kelley,21232,Oklahoma,Big 12
