,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
83,8995975,Ezekiel Welch,20996,Kansas,Big 12,13.87,14.71,15.67,15.42,2018
89,8032249,Kevin Dodds,21485,UC Davis,Big West,13.78,14.9,14.7,15.3,2018
93,9107125,Raeshawn Bishop,20897,George Mason,Colonial (CAA),14.89,15.08,15.37,13.49,2018
104,9151505,Issac Arriola,20929,Hampton,Mid-Eastern (MEAC),13.92,14.99,14.26,14.57,2018
105,7764910,John Reynolds,20583,Air Force,Mountain West (MWC),14.61,15.08,15.57,15.6,2018
108,9619619,Chrisford Stevens,20841,Eastern Illinois,Ohio Valley (OVC),13.9,14.19,14.82,15.35,2018
110,7832219,Dominic Smallwood,21493,USC,PAC-12,15.12,15.45,15.76,15.58,2018
113,7853931,KeAndre Bates,20871,Florida,Southeastern (SEC),15.8,16.73,16.76,17.16,2018
117,8429176,Rubin Owens,20619,Arkansas,Southeastern (SEC),15.02,15.44,15.97,15.32,2018
120,8982281,Kevin Hires,21543,Western Carolina,Southern (SoCon),14.35,14.35,15.0,14.72,2018
121,8429145,Alvin Chikaeze,21460,Texas State,Southland (SLC),14.9,15.49,15.67,15.47,2018
127,7096034,Julian Harvey,21374,Southern Illinois-Edwardsville,Summit,13.85,14.78,15.69,14.75,2018
140,6238648,Lorne Jenkins,20702,Campbell,Atlantic Sun,14.62,13.66,15.35,14.56,2017
147,7103084,Hayden McClain,21232,Oklahoma,Big 12,15.78,15.66,15.48,16.66,2017
150,6698519,Jeffrey Prothro,21453,Texas A&amp;M,Big 12,15.31,15.36,15.96,16.28,2017
154,6181502,Aklesso Agama,21033,Liberty,Big South,14.37,15.0,15.45,14.99,2017
159,7694213,Craig Mauldin,21487,UC Riverside,Big West,14.02,14.43,15.03,15.52,2017
160,6696799,Josh Webster,20792,CS Northridge,Big West,14.14,14.73,15.05,15.46,2017
161,5042942,Michael Harris,21487,UC Riverside,Big West,13.8,14.8,14.91,15.25,2017
168,7146833,Efe Uwaifo,20937,Harvard,Heps,15.24,15.3,15.98,16.18,2017
169,6698495,Robert Plummer,20784,Cornell,Heps,14.95,15.19,15.99,16.02,2017
176,6656829,Michael Ohiembor,20584,Akron,Mid-American (MAC),14.6,15.46,15.65,15.82,2017
181,6855042,Johnathan Osifuye-White,20829,Drake,Missouri Valley (MVC),14.01,14.12,14.98,14.03,2017
182,5631412,Scott Carter,21595,Wyoming,Mountain West (MWC),14.06,15.3,15.03,16.26,2017
184,6404130,Collin Scheer,20768,Colorado State,Mountain West (MWC),14.4,14.56,14.75,14.76,2017
191,6495623,Khaalif Wolfe,21167,Navy,Patriot,14.41,14.65,15.14,15.12,2017
